,ADA,ADST,BCH,BIS,BTC,DASH,EMC2,EOS,ETH,FUN,IOTA,LTC,NEO,ONT,TRX,UBQ,XLM,XMR,XRP,TOTAL
2018-06-01 06:10:00,40.8556975236742,35.19040730259601,258.7287819902948,43.046230491902925,726.3878589515839,38.52219661846164,7.20756801,0.0,608.032858948086,0.013163382724500001,70.3894832141688,341.98563609014644,59.39809505537404,0.0,0.012006875679899998,23.26176727511875,34.999088835018,78.1864772008113,395.1883770186007,2761.405694784242
2018-06-01 06:20:00,40.8277427734997,35.193685129911,259.3203268955722,43.03933697894558,726.958176392412,38.387881524411995,7.2072212085,0.0,609.9123076602375,0.0131333354739,71.7373088882142,342.6657524062158,59.32942519588749,0.0,0.0119817106407,23.14770381917711,34.97042258505599,78.15157749103213,396.2749290702695,2767.148913065457
2018-06-01 06:31:00,41.607680618944805,35.232901992918,262.6156291692661,43.168433680471324,731.1188793541434,38.64157386558144,7.307678475,0.0,614.4580986355548,0.0132243576369,73.06110987364201,345.3891117767954,60.16557518383237,0.0,0.0121205040264,23.429975762920463,35.279154471855,78.75599999980311,399.0143375165151,2789.2714852389067
2018-06-01 06:40:00,41.5605302613176,35.183500453647,262.2472200185447,43.80671034595299,731.5478277860407,38.612451340608814,7.3010121525,0.0,614.1608982471143,0.013240816668599999,72.8249349793878,344.6134897668601,59.76577881746801,0.0,0.012079529641500001,23.41468408221122,35.305901636754,78.63258653404812,399.15899487487377,2788.161841643639
2018-06-01 06:50:00,41.7815592281455,35.47522711202401,262.59995218407056,43.69829417964005,731.8450900180858,38.63015080615589,7.2970817175,0.0,615.7590113611714,0.0132566249577,73.51106375888881,345.5338173758153,60.0014564420871,0.0,0.0120898594761,23.1022968895382,35.29534670392499,78.59414627386452,399.5449641093291,2792.6948046446755
2018-06-01 07:01:00,41.8501415862977,35.277620927598,262.7723990203058,42.69372128862061,731.8857578146334,38.63027633432816,7.2970817175,0.0,615.5718068471931,0.0131933151855,73.8058751779899,345.75087577434505,59.834893142101045,0.0,0.0121266126303,23.16471191295281,35.322213810765,78.54002643399356,399.7298401642068,2792.1525618806468
2018-06-01 07:10:00,42.057938646023096,35.26942636614601,262.9448458568461,42.68400769951945,732.3795810663404,38.70170183767101,7.2892208475,0.0,616.4274478197462,0.0132038795835,75.1984926395373,345.27913552099955,60.13601825412179,0.0,0.012153908607600001,23.144739105533027,35.364313614146994,78.45353584917112,400.1910571602875,2795.5468200717805
2018-06-01 07:20:00,42.2411355125366,35.659253728098,263.9847525367012,42.89770661217486,735.3676958765687,38.77814846599902,7.3254039615,0.0,618.8156274426397,0.013261141624500001,76.03447031851111,345.8376991357848,60.40703085483665,0.0,0.012209210827499999,23.425762750520978,35.435319551373,78.92139427614612,401.63373878545485,2806.790610161298
2018-06-01 07:31:00,42.220076262326906,35.677398849939,263.2975780220669,42.83409828740313,735.3396157305797,38.87995177559743,7.322629536,0.0,618.8272616221444,0.013227955674000001,75.79748102682362,345.8897931506209,60.36091759968486,0.0,0.0122057201967,23.278463293294497,35.430761729600995,78.81062563275778,401.6311440455029,2805.6232302402136
2018-06-01 07:40:00,42.330404392347106,35.446897313919,262.85600960781176,42.88799302673294,735.6678629512244,38.96242375384901,7.321589127000001,0.0,618.9615835049298,0.0132588832911,76.0145176075494,345.2154650606754,60.390696762033556,0.0,0.0121991448213,23.30764231724649,35.545906497213,78.96893880829195,401.34377530799514,2805.2471640669314
