,btc,eth,ltc,xrp
2018-02-28 10:37:06.891752,8616.53,704.67,170.84,0.73706
2018-02-28 10:37:17.118787,8619.56,704.67,170.84,0.73439
2018-02-28 10:37:27.601756,8619.56,705.31,170.8,0.73439
2018-02-28 10:37:38.005678,8619.56,705.31,170.8,0.73439
2018-02-28 10:37:48.306330,8617.68,705.31,170.84,0.7345
2018-02-28 10:37:58.957969,8617.68,705.31,170.84,0.7345
2018-02-28 10:38:09.238997,8617.94,705.01,170.84,0.7345
2018-02-28 10:38:19.635395,8590.11,705.88,170.84,0.73456
2018-02-28 10:38:30.030918,8590.11,705.88,170.84,0.73456
2018-02-28 10:38:40.306588,8593.06,705.88,170.84,0.73457
2018-02-28 10:38:50.773965,8617.6,705.01,170.84,0.73457
2018-02-28 10:39:01.041449,8617.6,705.01,170.84,0.73462
2018-02-28 10:39:11.532922,8619.6,705.01,170.84,0.739
2018-02-28 10:39:21.812796,8619.6,704.93,170.84,0.739
2018-02-28 10:39:32.219737,8609.0,704.5,170.8,0.73859
2018-02-28 10:39:42.715780,8619.6,704.5,171.42,0.73601
2018-02-28 10:39:53.032565,8613.36,704.5,171.42,0.73601
2018-02-28 10:40:03.584437,8630.74,704.5,171.54,0.73603
2018-02-28 10:40:13.918921,8641.79,704.5,171.54,0.7361
2018-02-28 10:40:24.329060,8641.79,706.67,171.54,0.73859
2018-02-28 10:40:34.784881,8641.79,706.67,171.54,0.73859
2018-02-28 10:40:45.078419,8641.76,706.67,171.54,0.7361
2018-02-28 10:40:55.454932,8625.71,706.67,171.54,0.7361
2018-02-28 10:41:05.862535,8625.71,705.05,171.54,0.7361
2018-02-28 10:41:16.069078,8615.3,705.05,171.54,0.7361
2018-02-28 10:41:26.476666,8615.3,705.05,171.54,0.7361
2018-02-28 10:41:36.704757,8615.3,705.05,171.54,0.7361
2018-02-28 10:41:46.947396,8615.3,706.54,171.54,0.7361
2018-02-28 10:41:57.372005,8615.3,706.54,171.54,0.7361
2018-02-28 10:42:07.713948,8615.3,706.54,171.54,0.7361
2018-02-28 10:42:18.025885,8615.3,706.38,171.25,0.73859
2018-02-28 10:42:28.540796,8617.3,706.38,171.25,0.73859
2018-02-28 10:42:39.031175,8617.3,706.38,171.28,0.73859
2018-02-28 10:42:49.438748,8617.8,706.38,170.79,0.73859
2018-02-28 10:42:59.734556,8617.8,706.38,170.79,0.73859
2018-02-28 10:43:10.130371,8625.39,706.38,171.25,0.73735
2018-02-28 10:43:20.829748,8605.8,706.38,171.25,0.73735
2018-02-28 10:43:31.080293,8625.6,706.38,171.42,0.73735
2018-02-28 10:43:41.434684,8625.6,706.38,171.42,0.73735
2018-02-28 10:43:51.967848,8625.6,706.38,170.76,0.73735
2018-02-28 10:44:02.707008,8625.6,706.38,170.68,0.73735
2018-02-28 10:44:13.065314,8625.6,706.38,171.34,0.73859
2018-02-28 10:44:23.288018,8625.0,706.01,171.34,0.73859
2018-02-28 10:44:33.582268,8625.0,706.01,170.34,0.73859
2018-02-28 10:44:43.788609,8625.0,706.01,170.35,0.73859
2018-02-28 10:44:54.010801,8623.2,706.01,170.35,0.73859
2018-02-28 10:45:04.436293,8623.2,706.01,170.35,0.73859
2018-02-28 10:45:14.755345,8628.87,705.83,170.35,0.73859
2018-02-28 10:45:24.960693,8628.87,705.83,170.88,0.73859
2018-02-28 10:45:35.255918,8617.61,705.83,170.92,0.73859
2018-02-28 10:45:45.835729,8617.61,705.83,170.92,0.73859
2018-02-28 10:45:56.072702,8613.37,705.83,170.92,0.73859
2018-02-28 10:46:06.588800,8613.37,705.83,170.92,0.7385
2018-02-28 10:46:16.812722,8613.37,705.83,170.92,0.73857
2018-02-28 10:46:27.321791,8609.09,705.83,170.68,0.73857
2018-02-28 10:46:37.540776,8609.09,705.83,170.78,0.738
