,strategy,min_gain,pct_gap,period
2018-02-04 13:00:00,-15.416853963416486,0.0025,0.01,H
2018-02-04 14:00:00,-16.568383570213,0.0025,0.01,H
2018-02-04 15:00:00,-12.779342413449541,0.0025,0.01,H
2018-02-04 16:00:00,-13.394773074935827,0.0025,0.01,H
2018-02-04 17:00:00,-12.971735452778375,0.0025,0.01,H
2018-02-04 18:00:00,-12.81919757850163,0.0025,0.01,H
2018-02-04 19:00:00,-13.455484971286694,0.0025,0.01,H
2018-02-04 20:00:00,-4.844685891408858,0.0025,0.01,H
2018-02-04 21:00:00,-9.418730961645636,0.0025,0.01,H
2018-02-04 22:00:00,-11.153015000290779,0.0025,0.01,H
2018-02-04 23:00:00,-10.95398671266041,0.0025,0.01,H
2018-02-05 00:00:00,-10.572799755739226,0.0025,0.01,H
2018-02-05 01:00:00,-4.75586578908927,0.0025,0.01,H
2018-02-05 02:00:00,-4.663890686111486,0.0025,0.01,H
2018-02-05 03:00:00,-7.576301185199512,0.0025,0.01,H
2018-02-05 04:00:00,-5.646596675651793,0.0025,0.01,H
2018-02-05 05:00:00,-8.785152654563902,0.0025,0.01,H
2018-02-05 06:00:00,-8.367660450396428,0.0025,0.01,H
2018-02-05 07:00:00,-8.061034421167733,0.0025,0.01,H
2018-02-05 08:00:00,-7.336108696968779,0.0025,0.01,H
2018-02-05 09:00:00,-8.00541722911764,0.0025,0.01,H
2018-02-05 10:00:00,-8.595172998348914,0.0025,0.01,H
2018-02-05 11:00:00,-12.845223114870592,0.0025,0.01,H
2018-02-05 12:00:00,-12.095997623204696,0.0025,0.01,H
2018-02-05 13:00:00,-13.101332889844315,0.0025,0.01,H
2018-02-05 14:00:00,-7.062819771480747,0.0025,0.01,H
2018-02-05 15:00:00,-8.129083883030049,0.0025,0.01,H
2018-02-05 16:00:00,-7.6091820230014235,0.0025,0.01,H
2018-02-05 17:00:00,-8.081138354345555,0.0025,0.01,H
2018-02-05 18:00:00,-11.77086386352778,0.0025,0.01,H
2018-02-05 19:00:00,-3.419682542100972,0.0025,0.01,H
2018-02-05 20:00:00,-5.488094126065164,0.0025,0.01,H
2018-02-05 21:00:00,-5.620858110853817,0.0025,0.01,H
2018-02-05 22:00:00,-10.895466247948178,0.0025,0.01,H
2018-02-05 23:00:00,-7.166160206696901,0.0025,0.01,H
2018-02-06 00:00:00,-8.817794564239051,0.0025,0.01,H
2018-02-06 01:00:00,-11.49117474504925,0.0025,0.01,H
2018-02-06 02:00:00,-14.885018295969928,0.0025,0.01,H
2018-02-06 03:00:00,-12.499631402356954,0.0025,0.01,H
2018-02-06 04:00:00,-5.220853227601054,0.0025,0.01,H
2018-02-06 05:00:00,-9.584358966746834,0.0025,0.01,H
